PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
77,0,0,-0.0689299999999946,-89.21036572055891,-23.152207898529014,0,0,0,0
78,0,0,-0.07192999999998051,-89.35581249790266,-23.193406628997764,0,0,0,0
79,0,0,-0.07192999999998051,-89.49179882602766,-23.258592175872764,0,0,0,0
80,0,0,-0.07792999999998074,-89.62796825962141,-23.323777722747764,0,0,0,0
81,0,0,-0.07792999999998074,-89.76419872837141,-23.388963269622764,0,0,0,0
82,0,0,-0.07792999999998074,-89.90036816196516,-23.454209851654014,0,0,0,0
83,0,0,-0.07982999999998697,-90.02359814243391,-23.541612195404014,0,0,0,0
84,0,0,-0.08692999999999529,-90.14658398227766,-23.629014539154014,0,0,0,0
85,0,0,0.5733700000000113,-92.44120068149641,-17.422410535247764,0,0,0,0
86,0,0,0.5952699999999993,-92.49576611118391,-17.250596570404014,0,0,0,0
87,0,0,-0.11992999999998233,-90.49918407993391,-23.910996961029014,0,0,0,0
88,0,0,-0.14292999999997846,-90.60556835727766,-24.018174695404014,0,0,0,0
89,0,0,-0.16092999999997915,-90.71201366977766,-24.125413464935264,0,0,0,0
90,0,0,-0.19292999999998983,-90.81839794712141,-24.232408093841514,0,0,0,0
91,0,0,-0.21092999999999051,-90.90500683384016,-24.356004285247764,0,0,0,0
92,0,0,-0.22792999999998642,-90.99155468540266,-24.479783582122764,0,0,0,0
93,0,0,-0.24893000000000143,-91.07816357212141,-24.603379773529014,0,0,0,0
94,0,0,-0.26792999999997846,-91.16477245884016,-24.727159070404014,0,0,0,0
95,0,0,-0.16192999999998392,-93.03519482212141,-24.061997937591514,0,0,0,0
96,0,0,-0.16192999999998392,-92.96036572055891,-23.919175671966514,0,0,0,0
97,0,0,-0.144929999999988,-92.88578075962141,-23.776170300872764,0,0,0,0
98,0,0,-0.12393000000000143,-92.81119579868391,-23.633409070404014,0,0,0,0
99,0,0,-0.10192999999998165,-92.73661083774641,-23.490403699310264,0,0,0,0
100,0,0,-0.08892999999997642,-92.64139599399641,-23.360398816497764,0,0,0,0
101,0,0,-0.06092999999998483,-92.54636425571516,-23.230210828216514,0,0,0,0
102,0,0,-0.0479299999999796,-92.45121044712141,-23.099961804779014,0,0,0,0
103,0,0,-0.03392999999999802,-92.35617870884016,-22.969773816497764,0,0,0,0
104,0,0,-0.021329999999977645,-92.26120800571516,-22.839585828216514,0,0,0,0
105,0,0,-0.021929999999997563,-92.14780468540266,-22.724961804779014,0,0,0,0
106,0,0,-0.022929999999973916,-92.03440136509016,-22.610398816497764,0,0,0,0
107,0,0,-0.01692999999997369,-91.92099804477766,-22.495774793060264,0,0,0,0
108,0,0,-0.00392999999999688,-91.80759472446516,-22.381211804779014,0,0,0,0
109,0,0,0.001069999999998572,-91.69437450962141,-22.266587781341514,0,0,0,0
110,0,0,0.010070000000013124,-91.56516308384016,-22.170213269622764,0,0,0,0
111,0,0,0.017070000000018126,-91.43601269321516,-22.073777722747764,0,0,0,0
112,0,0,0.02207000000001358,-91.30680126743391,-21.977403211029014,0,0,0,0
113,0,0,0.037069999999999936,-91.17758984165266,-21.880784558685264,0,0,0,0
114,0,0,0.04607000000001449,-91.04856152134016,-21.784410046966514,0,0,0,0
115,0,0,0.05507000000000062,-90.90641064243391,-21.708177136810264,0,0,0,0
116,0,0,0.0630700000000104,-90.76438183384016,-21.632005261810264,0,0,0,0
117,0,0,0.07507000000001085,-90.62235302524641,-21.555772351654014,0,0,0,0
118,0,0,0.07407000000000608,-90.48020214634016,-21.479600476654014,0,0,0,0
119,0,0,0.0730700000000013,-90.33817333774641,-21.403611707122764,0,0,0,0
120,0,0,0.06397000000001185,-90.18637890415266,-21.349412488372764,0,0,0,0
121,0,0,0.05307000000001949,-90.03458447055891,-21.295213269622764,0,0,0,0
122,0,0,0.05307000000001949,-89.88279003696516,-21.241014050872764,0,0,0,0
123,0,0,0.05307000000001949,-89.73099560337141,-21.186814832122764,0,0,0,0
124,0,0,0.039070000000009486,-89.57920116977766,-21.132615613372764,0,0,0,0
125,0,0,0.04986999999999853,-89.39640087680891,-21.111802625091514,0,0,0,0
126,0,0,0.05307000000001949,-89.21360058384016,-21.090989636810264,0,0,0,0
127,0,0,0.05707000000001017,-89.03080029087141,-21.070359753997764,0,0,0,0
128,0,0,0.06207000000000562,-88.84799999790266,-21.049607800872764,0,0,0,0
